"dp","mdp_conf","mdp_rt","mdp_logit","auc1_conf","auc1_rt","auc1_logit","auc2_conf","auc2_rt","auc2_logit","Subj_idx","mean_RT_Dec","group","exp","mratio_conf","mratio_rt","mratio_logit","mdiff_conf","mdiff_rt","mdiff_logit"
1.19383387687317,0.608917056895587,0.143870996461676,0.638644690212706,0.74456787109375,0.705940246582031,0.747467041015625,0.593980823863636,0.51357421875,0.594779829545455,1,0.8684375,"Fast","Hainguerlot_2018",0.510051748984066,0.120511738901643,0.534952728838131,-0.584916819977581,-1.04996288041149,-0.555189186660462
1.99787054743412,1.12862059047435,0.0166892384910553,0.973395547283824,0.885246276855469,0.836906433105469,0.8812255859375,0.678729852596776,0.510855489736878,0.664898746383799,2,0.822583984375,"Fast","Hainguerlot_2018",0.564911771647993,0.00835351345085369,0.487216525882503,-0.869249956959763,-1.98118130894306,-1.02447500015029
0.886954927340815,0.949284403435765,0.44802832549614,1.06991224273004,0.73565673828125,0.707191467285156,0.749763488769531,0.644734565337763,0.57953522978959,0.676417151162791,5,0.875189453125,"Slow","Hainguerlot_2018",1.07027355525474,0.505130882850357,1.20627577540805,0.0623294760949495,-0.438926601844675,0.18295731538922
1.13296896844456,0.817754162125294,-0.0215260745051379,0.736573303856075,0.756744384765625,0.70428466796875,0.75384521484375,0.6359375,0.489921418128655,0.633251096491228,7,0.632275390625,"Fast","Hainguerlot_2018",0.72177984119722,-0.0189997035264706,0.650126635742996,-0.315214806319268,-1.1544950429497,-0.396395664588486
1.28628151537966,0.850938470600312,0.620281266936824,0.960994122288529,0.791984558105469,0.780952453613281,0.798843383789062,0.626738349832365,0.604261312912889,0.647816771480151,8,1.042728515625,"Slow","Hainguerlot_2018",0.661549171332954,0.482228236603198,0.747110263809458,-0.43534304477935,-0.666000248442839,-0.325287393091133
0.71296632768852,0.135277479422919,-0.283726560950825,0.171482439257873,0.643081665039062,0.615615844726562,0.645126342773438,0.523854084581035,0.456806540583136,0.529739624376149,9,0.861396484375,"Fast","Hainguerlot_2018",0.189738945823005,-0.397952259359406,0.240519688796286,-0.577688848265601,-0.996692888639345,-0.541483888430646
1.11467810969528,0.45155911191682,0.891640269064196,0.866345640087178,0.734725952148438,0.772964477539062,0.771324157714844,0.55608664983665,0.649233367983368,0.645363082863083,12,1.299259765625,"Slow","Hainguerlot_2018",0.405102700043389,0.799908297569369,0.777215980606284,-0.663118997778463,-0.223037840631087,-0.248332469608104
1.05684193149957,1.11889009889853,-0.0934499060429715,0.997025102164858,0.774627685546875,0.693008422851562,0.772232055664062,0.681219618370456,0.493225350068925,0.672912283247479,13,0.881490234375,"Slow","Hainguerlot_2018",1.05871092502066,-0.0884237304157431,0.943400401184083,0.0620481673989561,-1.15029183754254,-0.0598168293347143
0.924895498078554,0.720079999257158,0.0701369707446971,0.628300414335398,0.721694946289062,0.6865234375,0.719627380371094,0.605134922714173,0.514592611998952,0.598864727971356,14,0.926501953125,"Slow","Hainguerlot_2018",0.778552821105849,0.0758323193165118,0.679320437433932,-0.204815498821397,-0.854758527333857,-0.296595083743156
1.29776107862422,2.214316415997,0.242289653344808,0.496825814799558,0.771553039550781,0.762786865234375,0.777816772460938,0.576584928229665,0.551216108452951,0.589683014354067,15,0.878640625,"Slow","Hainguerlot_2018",1.70625891966527,0.186698196868151,0.382833036822351,0.91655533737278,-1.05547142527941,-0.800935263824659
1.24050676471921,0.622507932970008,0.576757807965713,0.748364965689504,0.761070251464844,0.761749267578125,0.774650573730469,0.595057639044839,0.589265663597575,0.625842128901864,16,1.05540625,"Slow","Hainguerlot_2018",0.50181744322121,0.464937253362149,0.603273587031909,-0.617998831749199,-0.663748956753493,-0.492141799029703
1.08601613855576,0.626727077398575,0.550363627227289,0.74628726794325,0.7401123046875,0.7442626953125,0.754722595214844,0.592258816247019,0.583301472863983,0.62014127842409,18,1.13583203125,"Slow","Hainguerlot_2018",0.577088180505334,0.506772972968144,0.687178800985129,-0.45928906115719,-0.535652511328476,-0.339728870612514
1.50657741132254,1.00347412790168,0.764340733886716,1.07426303655837,0.827880859375,0.819412231445312,0.83599853515625,0.649895958821597,0.622593363267988,0.674383966706823,19,0.8831796875,"Slow","Hainguerlot_2018",0.666062108963112,0.507335851541638,0.713048681391908,-0.503103283420863,-0.742236677435823,-0.432314374764169
1.19551765776931,1.57216199567677,-0.119558597987923,1.49315100125891,0.8253173828125,0.716476440429688,0.822227478027344,0.754344571417742,0.481607823071238,0.745655428582258,20,0.781751953125,"Fast","Hainguerlot_2018",1.3150470722534,-0.100005714855776,1.24895771430508,0.376644337907465,-1.31507625575723,0.297633343489608
1.19454534988566,1.5468409266102,0.14203772962782,1.48183253719853,0.821708679199219,0.739044189453125,0.81903076171875,0.745355919299581,0.545289303387895,0.739645984012181,22,0.874109375,"Slow","Hainguerlot_2018",1.29492021944437,0.118905263530945,1.24049918853258,0.352295576724531,-1.05250762025784,0.287287187312866
1.10860138644458,1.48735351184808,0.250848665113639,0.935677036196133,0.774360656738281,0.713844299316406,0.774208068847656,0.673648358721304,0.536919831223629,0.670528498891511,24,0.5613984375,"Fast","Hainguerlot_2018",1.34164861241803,0.226274897524836,0.844015755019901,0.378752125403496,-0.857752721330943,-0.172924350248449
1.14969035862512,0.988624049065486,0.104079341682428,0.958387952146311,0.784492492675781,0.718704223632812,0.782600402832031,0.672729994760087,0.51460625795344,0.667948573995059,26,0.98758984375,"Slow","Hainguerlot_2018",0.859904618359809,0.0905281503855468,0.833605278983481,-0.161066309559634,-1.04561101694269,-0.191302406478809
