"dp","mdp_conf","mdp_rt","mdp_logit","auc1_conf","auc1_rt","auc1_logit","auc2_conf","auc2_rt","auc2_logit","sub","rn","exp"
0.991551756512371,0.501819181143065,0.283691273259668,0.524569898546898,0.70781451266638,0.699012451696007,0.710912102067104,0.577844712182062,0.531894243641232,0.586546184738956,1,"odd","Hainguerlot_2018"
1.87947683884599,1.13544985279587,-0.195920502433368,1.20742556843971,0.87493894993895,0.810989010989011,0.879639804639805,0.68909701720452,0.489819810648478,0.699938918863891,2,"odd","Hainguerlot_2018"
1.01363423158401,1.19337487545483,0.534284088068276,1.23870916014043,0.770981159774896,0.73660386591632,0.78297039393198,0.680963699222126,0.597306251800634,0.707865168539326,5,"odd","Hainguerlot_2018"
0.984529250081363,0.742603304989355,0.0530117500764172,0.749032534307995,0.729810049019608,0.693229166666667,0.734313725490196,0.637770897832817,0.500515995872033,0.6515651874785,7,"odd","Hainguerlot_2018"
1.26746088281933,1.05772048875969,0.671474432808882,1.08283734451397,0.804450149764656,0.781313038694297,0.805458768873403,0.665482113243307,0.604280186369738,0.662125878543789,8,"odd","Hainguerlot_2018"
0.62909407073637,-0.0523038971368028,-0.561479867989825,0.503976519695267,0.622016651248844,0.588405797101449,0.666481652790626,0.490381522228656,0.43112655214566,0.587177507559673,9,"odd","Hainguerlot_2018"
1.11032776104247,0.325632240513575,0.784253853742437,0.865739520256613,0.724476600985222,0.760529556650246,0.765794334975369,0.542929860019463,0.634366344786286,0.647204132045812,12,"odd","Hainguerlot_2018"
1.14347714543065,1.21962677068655,-0.218491820723463,1.43529484363019,0.793047671366661,0.697765976927303,0.808185314045047,0.694400778501385,0.470693914215136,0.727000523991317,13,"odd","Hainguerlot_2018"
0.908606365066583,0.953491128834731,-0.00309091657186487,0.911522904789768,0.737312977099237,0.681160305343512,0.739725190839695,0.646772059335608,0.506198203217494,0.65028901734104,14,"odd","Hainguerlot_2018"
1.37269400618232,1.98986022857678,0.470377461713293,0.682261975734699,0.778734053592138,0.789782091192089,0.800830128792041,0.567028538531129,0.587178221893248,0.616662554486389,15,"odd","Hainguerlot_2018"
1.49497550940369,0.727221530415855,0.575308011071115,0.842979600034058,0.79144287109375,0.785552978515625,0.80670166015625,0.609370015948963,0.575598086124402,0.641826156299841,16,"odd","Hainguerlot_2018"
1.15470529011223,0.526472431504118,0.654861772845799,0.784974058341048,0.746733821733822,0.76492673992674,0.769047619047619,0.580133243506251,0.604349127928737,0.625046784938992,18,"odd","Hainguerlot_2018"
1.517687529008,0.623688837294058,0.433113347942521,0.69119098658362,0.813892449490325,0.803759995116889,0.817798937923457,0.605836198536542,0.581459931235123,0.621176055717182,19,"odd","Hainguerlot_2018"
1.07926488457367,1.45964738304777,-0.0165200045613854,1.47106866833318,0.800888480392157,0.707843137254902,0.802665441176471,0.730865561694291,0.503241252302026,0.732780847145488,20,"odd","Hainguerlot_2018"
1.19034192951642,1.77768391897274,0.339560375190336,1.71920036510805,0.833394383394383,0.75,0.831471306471307,0.77536231884058,0.574728260869565,0.769021739130435,22,"odd","Hainguerlot_2018"
1.19003427712318,1.53625277499068,0.292659434279834,0.846436491100934,0.787859366416407,0.725080876518342,0.775285356772264,0.683704563592832,0.551766669085105,0.663970108104186,24,"odd","Hainguerlot_2018"
1.33951373495424,0.906101220775854,-0.0390484448553265,1.00102175937444,0.805469083806385,0.739608130379051,0.812000244155527,0.66496173983085,0.493193717277487,0.67921868707209,26,"odd","Hainguerlot_2018"
1.43082646862196,1.16187398717989,0.383183742887962,1.08352271092689,0.827197802197802,0.779395604395604,0.823137973137973,0.6806640625,0.550944010416667,0.678873697916667,27,"odd","Hainguerlot_2018"
1.70841872146065,1.02248539427116,0.355584567533659,0.935929064933488,0.849012775842044,0.809829451677976,0.847240051347882,0.672350568390172,0.552530253025302,0.670700403373671,29,"odd","Hainguerlot_2018"
2.54590318792807,0.94193753270959,-0.306459591495148,1.1931874584739,0.904928068564432,0.8729415365779,0.921426385062749,0.667064122946476,0.501258611552729,0.730325914149444,30,"odd","Hainguerlot_2018"
1.0530416586342,0.32087394186192,0.318533808808399,0.503836781354311,0.711896478056522,0.719312702191296,0.727675028993469,0.551174013252665,0.541306539902046,0.578759723422645,31,"odd","Hainguerlot_2018"
1.64904237718163,1.38752563245442,-0.129241445008785,1.24686911093598,0.865750915750916,0.797374847374847,0.863705738705739,0.702253016591252,0.500612745098039,0.700037707390649,32,"odd","Hainguerlot_2018"
0.952558281846366,0.813513316120259,0.446181323287022,0.657089301229188,0.722717557251908,0.717679389312977,0.729648854961832,0.593439153439153,0.577495590828924,0.608641975308642,33,"odd","Hainguerlot_2018"
0.7047046751861,1.46349866759986,-0.038371035662977,1.37282869035862,0.745748715439197,0.627202104232934,0.745106435037925,0.681824125531219,0.486891140895718,0.686891140895717,37,"odd","Hainguerlot_2018"
1.03784464691573,0.584377894772202,0.0683345067966062,0.523533230524984,0.731978270158091,0.705334798266496,0.729201001037661,0.577269099615468,0.514837118189074,0.571609954291519,39,"odd","Hainguerlot_2018"
0.963605060821173,1.0917998346814,0.929969038064845,1.11245818302713,0.76000122339124,0.749327134817715,0.76257034499633,0.660954583683768,0.654191197084385,0.666070927950659,40,"odd","Hainguerlot_2018"
0.746803959150296,0.722292974075124,-0.0990725907860816,0.53744793364012,0.69031862745098,0.648560049019608,0.681495098039216,0.584815184815185,0.506793206793207,0.578787878787879,41,"odd","Hainguerlot_2018"
